participant_id,background_category,q1_plausibility,q2_meaningfulness,q3_crisis_trust
P01,crisis_relevant,4.0,3.0,2.0
P02,crisis_relevant,3.5,2.5,2.0
P03,crisis_relevant,4.5,3.0,2.5
P04,crisis_relevant,4.0,4.0,2.0
P05,crisis_relevant,3.0,2.0,1.5
P06,crisis_relevant,3.5,2.5,2.0
P07,crisis_relevant,4.0,3.0,2.5
P08,crisis_relevant,3.0,2.5,1.5
P09,crisis_relevant,4.0,4.0,2.5
P10,crisis_relevant,4.0,3.5,2.0
P11,crisis_relevant,4.5,3.5,2.0
P12,crisis_relevant,3.5,3.0,2.0
P13,crisis_relevant,2.5,2.0,1.0
P14,crisis_relevant,4.0,3.0,2.0
P15,crisis_relevant,4.5,4.0,2.5
P16,crisis_relevant,3.5,2.0,1.5
P17,crisis_relevant,4.0,3.5,2.0
P18,crisis_relevant,3.5,3.0,2.0
P19,crisis_relevant,4.0,3.5,2.5
P20,crisis_relevant,4.0,3.0,2.0
P21,crisis_relevant,2.0,3.0,1.0
P22,crisis_relevant,3.0,2.0,3.0
P23,crisis_relevant,4.0,2.0,1.5
P24,adjacent_technical,3.5,2.5,1.5
P25,adjacent_technical,2.0,1.0,1.0
P26,adjacent_technical,3.0,1.0,1.0
P27,adjacent_technical,3.0,2.0,1.0
P28,adjacent_technical,3.0,2.0,2.0
P29,adjacent_technical,3.0,4.0,4.0
P30,adjacent_technical,3.5,1.5,2.0
